2025-09-02 15:30:57 | ip | 10.16.8.2 | up | 42ms
2025-09-02 15:30:59 | ip | 10.16.8.5 | up | 1310ms
2025-09-02 15:30:59 | ip | 10.16.8.40 | up | 30ms
2025-09-02 15:30:59 | ip | 10.16.8.4 | up | 39ms
2025-09-02 15:31:00 | ip | 10.16.8.10 | up | 1297ms
2025-09-02 15:31:00 | ip | 10.16.8.7 | up | 48ms
2025-09-02 15:31:02 | ip | 10.16.8.20 | up | 1393ms
2025-09-02 15:31:02 | ip | 10.16.8.25 | up | 35ms
2025-09-02 15:31:02 | ip | 10.16.8.9 | up | 45ms
2025-09-02 15:31:02 | ip | 10.16.8.61 | up | 48ms
2025-09-02 15:31:02 | ip | 10.16.8.6 | up | 52ms
2025-09-02 15:31:02 | ip | 10.16.8.11 | up | 32ms
2025-09-02 15:31:03 | ip | 10.16.8.254 | up | 1090ms
2025-09-02 15:31:03 | ip | 10.16.1.8 | up | 48ms
2025-09-02 15:31:08 | ip | 189.202.180.34 | down | ms
2025-09-02 15:31:13 | ip | 189.202.180.40 | down | ms
2025-09-02 15:31:13 | web | sips.tlalpan.gob.mx | down | ms
2025-09-02 15:31:14 | web | tlalpan.cdmx.gob.mx | up | 603ms
2025-09-02 15:31:14 | web | correo2.cdmx.gob.mx | up | 120ms
2025-09-02 15:31:14 | web | http://10.16.1.3/VU/ | up | 9ms
2025-09-02 15:31:14 | service | 8.8.8.8 | up | 71ms
2025-09-02 15:31:15 | web | google.com | up | 128ms
2025-09-02 15:31:15 |  | 8.8.8.8 | up | 79ms
2025-09-02 15:32:15 | ip | 10.16.1.3 | up | 45ms
2025-09-02 15:32:15 | ip | 10.16.8.16 | up | 57ms
2025-09-02 15:32:15 | ip | 10.16.1.7 | up | 34ms
2025-09-02 15:32:20 | ip | 10.16.0.5 | down | ms
2025-09-02 15:32:20 | ip | 10.16.0.127 | up | 42ms
2025-09-02 15:32:25 | ip | 10.16.0.7 | down | ms
2025-09-02 15:32:30 | ip | 172.16.1.1 | down | ms
2025-09-02 15:32:35 | ip | 172.16.1.2 | down | ms
2025-09-02 15:32:35 | ip | 10.16.8.249 | up | 36ms
2025-09-02 15:32:35 | ip | 10.16.8.2 | up | 32ms
2025-09-02 15:32:36 | ip | 10.16.8.5 | up | 1350ms
2025-09-02 15:32:36 | ip | 10.16.8.40 | up | 45ms
2025-09-02 15:32:36 | ip | 10.16.8.4 | up | 40ms
2025-09-02 15:32:38 | ip | 10.16.8.10 | up | 1320ms
2025-09-02 15:32:38 | ip | 10.16.8.7 | up | 45ms
2025-09-02 15:32:39 | ip | 10.16.8.20 | up | 1323ms
2025-09-02 15:32:39 | ip | 10.16.8.25 | up | 49ms
2025-09-02 15:32:40 | ip | 10.16.8.9 | up | 34ms
2025-09-02 15:32:40 | ip | 10.16.8.61 | up | 33ms
2025-09-02 15:32:40 | ip | 10.16.8.6 | up | 50ms
2025-09-02 15:32:40 | ip | 10.16.8.11 | up | 44ms
2025-09-02 15:32:41 | ip | 10.16.8.254 | up | 1536ms
2025-09-02 15:32:42 | ip | 10.16.1.8 | up | 186ms
2025-09-02 15:32:46 | ip | 189.202.180.34 | down | ms
2025-09-02 15:32:51 | ip | 189.202.180.40 | down | ms
2025-09-02 15:32:51 | web | sips.tlalpan.gob.mx | down | ms
2025-09-02 15:32:52 | web | tlalpan.cdmx.gob.mx | up | 458ms
2025-09-02 15:32:52 | web | correo2.cdmx.gob.mx | up | 105ms
2025-09-02 15:32:52 | web | http://10.16.1.3/VU/ | up | 9ms
2025-09-02 15:32:52 | service | 8.8.8.8 | up | 66ms
2025-09-02 15:32:52 | web | google.com | up | 124ms
2025-09-02 15:32:52 |  | 8.8.8.8 | up | 73ms
2025-09-02 15:33:53 | ip | 10.16.1.3 | up | 142ms
2025-09-02 15:33:53 | ip | 10.16.8.16 | up | 47ms
2025-09-02 15:33:53 | ip | 10.16.1.7 | up | 70ms
2025-09-02 15:33:58 | ip | 10.16.0.5 | down | ms
2025-09-02 15:33:58 | ip | 10.16.0.127 | up | 44ms
2025-09-02 15:34:03 | ip | 10.16.0.7 | down | ms
2025-09-02 15:34:08 | ip | 172.16.1.1 | down | ms
2025-09-02 15:34:13 | ip | 172.16.1.2 | down | ms
2025-09-02 15:34:13 | ip | 10.16.8.249 | up | 33ms
2025-09-02 15:34:13 | ip | 10.16.8.2 | up | 38ms
2025-09-02 15:34:14 | ip | 10.16.8.5 | up | 1300ms
2025-09-02 15:34:14 | ip | 10.16.8.40 | up | 43ms
2025-09-02 15:34:14 | ip | 10.16.8.4 | up | 46ms
2025-09-02 15:34:16 | ip | 10.16.8.10 | up | 1308ms
2025-09-02 15:34:16 | ip | 10.16.8.7 | up | 55ms
2025-09-02 15:34:17 | ip | 10.16.8.20 | up | 1386ms
2025-09-02 15:34:17 | ip | 10.16.8.25 | up | 47ms
2025-09-02 15:34:17 | ip | 10.16.8.9 | up | 70ms
2025-09-02 15:34:18 | ip | 10.16.8.61 | up | 48ms
2025-09-02 15:34:18 | ip | 10.16.8.6 | up | 35ms
2025-09-02 15:34:18 | ip | 10.16.8.11 | up | 46ms
2025-09-02 15:34:19 | ip | 10.16.8.254 | up | 1080ms
2025-09-02 15:34:19 | ip | 10.16.1.8 | up | 40ms
2025-09-02 15:34:24 | ip | 189.202.180.34 | down | ms
